"Institute","Academic Program Name","Quota","Category","Gender","Closing Rank"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","14782"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","23024"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","EWS","Gender-Neutral","2267"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","EWS","Female-only (including Supernumerary)","4265"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","Gender-Neutral","5231"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","Female-only (including Supernumerary)","8720"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","SC","Gender-Neutral","2587"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","SC","Female-only (including Supernumerary)","4293"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","ST","Gender-Neutral","977"
"Indian Institute  of Technology Bhubaneswar","Civil Engineering (4 Years, Bachelor of Technology)","OS","ST","Female-only (including Supernumerary)","1750"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","3685"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","7557"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","Female-only (including Supernumerary)","197"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","EWS","Gender-Neutral","466"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","EWS","Female-only (including Supernumerary)","1025"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","Gender-Neutral","1237"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","Female-only (including Supernumerary)","3291"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL (PwD)","Gender-Neutral","31"
